gender,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,internet_access,extra_classes,parent_education,sleep_hours,grade
Female,1.76,93.42,49.44,35.66,61.73,49.84,Yes,No,High School,4.53,D
Male,4.93,68.31,96.7,38.36,41.94,48.29,No,Yes,High School,8.97,C
Female,6.92,84.63,36.05,53.32,45.58,18.82,Yes,Yes,PhD,5.54,D
Female,4.94,48.4,95.72,40.76,44.76,89.73,No,Yes,Bachelor,4.17,C
Male,3.49,80.24,51.79,31.22,52.4,44.33,Yes,Yes,Master,5.96,D
Male,6.02,54.18,65.89,75.53,39.42,54.48,No,Yes,High School,7.74,C
Male,4.12,66.3,37.62,68.61,86.65,36.21,Yes,Yes,Master,8.45,C
Male,9.4,41.01,34.97,46.85,45.45,23.72,Yes,No,Master,6.39,D
Male,9.3,49.1,60.07,83.42,59.16,91.19,Yes,Yes,Master,5.47,C
Male,5.52,45.52,81.92,83.2,31.12,13.37,Yes,Yes,Bachelor,7.89,D
Male,3.95,54.38,48.86,61.83,37.34,45.99,Yes,No,Master,6.52,D
Male,7.63,46.0,69.36,32.24,92.74,75.76,Yes,No,Master,4.43,C
Female,1.33,81.51,49.51,93.89,88.6,37.8,No,No,High School,8.44,B
Female,5.27,41.74,57.2,75.15,88.86,50.14,No,Yes,Master,7.28,B
Male,4.03,77.06,93.45,43.53,58.79,60.8,No,Yes,Bachelor,4.18,C
Female,9.28,48.44,89.91,70.78,39.91,99.56,Yes,No,Bachelor,4.05,C
Female,1.11,96.71,66.12,55.38,37.55,78.25,No,Yes,Master,4.44,C
Female,5.98,95.99,46.67,72.65,72.39,97.04,Yes,No,Bachelor,8.11,B
Female,7.67,53.53,43.52,60.54,87.97,72.38,No,Yes,PhD,6.41,C
Male,5.37,76.87,96.79,61.41,93.01,34.21,Yes,No,Bachelor,5.68,B
Female,1.77,41.68,44.19,80.19,50.21,35.87,No,Yes,PhD,5.25,D
Male,9.75,95.91,86.57,71.03,52.47,84.02,No,Yes,Bachelor,6.53,B
Female,5.66,71.38,55.83,31.0,37.06,48.49,No,Yes,Bachelor,4.42,D
Female,6.53,42.59,99.0,29.9,84.21,43.32,Yes,No,High School,7.09,C
Female,3.13,60.55,55.77,47.88,49.3,95.06,Yes,Yes,Master,5.9,C
Male,5.35,44.61,54.61,57.27,63.67,11.19,Yes,No,High School,8.29,D
Female,4.86,63.58,74.62,45.64,95.02,57.25,No,Yes,PhD,7.77,B
Male,1.67,80.2,97.31,73.86,82.66,79.76,Yes,No,High School,4.09,B
Female,1.96,68.19,98.33,39.63,33.69,76.26,Yes,Yes,High School,4.83,C
Male,8.54,63.02,79.5,77.81,30.57,43.08,Yes,Yes,Bachelor,6.37,C
Female,3.16,47.15,82.82,82.99,85.12,58.21,No,No,PhD,7.29,B
Male,2.75,54.7,69.44,34.32,68.68,10.5,Yes,No,Bachelor,7.58,D
Male,5.54,46.01,82.9,73.81,80.42,58.13,Yes,No,PhD,8.08,B
Female,7.92,88.45,90.18,97.11,40.98,63.14,No,No,PhD,4.25,B
Male,1.56,48.11,64.03,39.46,91.04,88.73,No,Yes,Bachelor,4.09,C
Female,6.19,75.72,73.39,93.2,84.13,28.97,No,Yes,Master,7.0,B
Female,2.07,60.56,67.61,70.45,92.36,84.26,No,Yes,Master,7.62,B
Female,1.33,53.56,69.37,69.32,53.88,74.63,Yes,No,PhD,7.93,C
Female,1.47,78.37,92.3,28.89,49.3,69.94,Yes,No,Master,4.78,C
Female,8.51,67.42,54.89,81.12,40.62,45.49,Yes,No,Bachelor,8.84,C
Female,2.06,64.01,44.57,60.87,95.11,43.07,No,No,Bachelor,5.15,C
Female,1.41,75.57,61.94,79.09,42.38,73.29,No,Yes,Bachelor,5.25,C
Female,4.94,69.48,44.57,85.69,38.35,99.12,Yes,Yes,High School,4.77,C
Female,8.6,58.21,64.89,64.28,43.49,46.48,Yes,No,High School,4.22,D
Female,3.36,73.54,93.25,44.77,84.0,92.67,Yes,No,Bachelor,8.05,B
Female,4.8,80.17,73.22,35.62,92.27,62.79,No,Yes,PhD,4.03,B
Male,1.36,41.6,89.88,37.04,86.76,88.13,No,Yes,High School,6.32,B
Male,5.04,67.95,41.63,90.02,69.43,29.55,Yes,No,PhD,4.46,C
Female,6.2,43.46,93.06,34.27,99.57,78.6,No,No,Bachelor,4.22,B
Female,6.14,51.18,72.13,53.85,34.82,85.14,Yes,No,PhD,8.67,D
Female,3.99,73.63,32.22,50.07,90.7,84.9,No,Yes,Bachelor,8.13,C
Female,3.84,91.97,74.32,89.91,59.94,80.62,No,No,PhD,5.97,B
Female,1.96,92.97,96.6,60.83,61.86,37.38,Yes,Yes,High School,6.29,C
Female,4.3,44.2,35.54,99.73,38.93,56.98,No,Yes,PhD,8.34,C
Female,1.9,65.15,70.77,80.28,32.34,36.97,Yes,No,Bachelor,7.98,C
Female,7.9,74.98,94.08,88.82,52.16,40.87,No,No,Master,7.46,B
Male,9.7,48.82,30.68,32.4,42.24,37.11,No,No,Master,6.68,F
Female,9.73,85.93,74.16,43.98,63.83,35.58,No,No,High School,7.04,C
Male,8.79,84.65,63.24,35.16,40.31,72.41,Yes,Yes,Bachelor,5.97,D
Female,6.41,94.2,54.29,59.77,39.65,68.52,No,No,PhD,6.64,C
Female,7.31,40.51,73.93,78.87,91.39,28.38,Yes,Yes,Bachelor,6.7,B
Male,3.57,53.0,33.69,37.68,94.49,72.24,No,Yes,Bachelor,8.32,C
Female,6.68,89.63,82.71,34.76,97.5,36.2,Yes,Yes,High School,5.09,B
Male,5.1,80.23,30.31,71.1,77.64,28.15,Yes,Yes,PhD,5.23,C
Female,5.34,93.66,51.49,42.27,83.97,77.25,Yes,Yes,Bachelor,5.05,C
Female,7.82,43.43,65.28,60.95,88.5,42.66,Yes,Yes,Master,6.9,C
Male,3.54,75.82,56.39,28.83,76.12,61.24,Yes,No,PhD,7.48,C
Female,3.86,74.14,51.52,76.05,53.12,28.01,Yes,No,Master,5.19,C
Male,9.32,42.14,88.16,65.6,40.95,65.23,Yes,No,Master,7.38,C
Female,1.51,70.81,95.44,73.56,46.61,28.72,No,Yes,High School,7.14,C
Male,5.37,76.57,91.16,45.66,88.83,25.02,Yes,No,Master,5.61,B
Male,9.22,51.48,66.57,45.9,78.73,44.79,Yes,Yes,Master,5.15,C
Female,6.49,56.4,91.89,85.1,61.91,81.11,Yes,Yes,High School,8.41,B
Female,5.92,78.42,94.46,78.89,32.06,25.89,No,No,Bachelor,6.85,C
Male,3.25,68.1,58.65,68.48,48.63,20.53,Yes,No,Bachelor,7.52,D
Female,4.09,91.48,49.84,72.11,81.02,12.85,Yes,No,Bachelor,8.63,C
Female,8.67,60.54,36.88,32.05,65.87,47.44,No,No,Master,5.03,D
Female,6.03,56.0,63.54,89.21,60.49,35.38,Yes,No,Bachelor,5.75,C
Male,5.63,99.09,96.24,82.74,51.96,36.29,Yes,Yes,PhD,6.17,B
Male,1.9,94.67,69.26,69.29,72.49,98.37,No,Yes,Master,5.16,B
Male,1.14,41.74,76.73,93.89,97.65,27.47,Yes,Yes,Bachelor,8.2,B
Male,9.67,86.24,37.9,37.65,93.08,51.26,Yes,Yes,Master,4.42,C
Male,4.39,46.62,40.05,76.5,32.13,98.77,Yes,No,PhD,5.2,D
Male,6.43,41.65,62.51,97.22,63.67,12.76,Yes,No,High School,4.96,C
Male,1.72,56.42,96.59,48.25,53.06,72.7,No,Yes,Master,8.77,C
Male,7.15,56.16,55.25,26.15,65.74,43.4,Yes,Yes,High School,7.14,D
Male,9.39,89.16,91.42,80.12,72.43,91.55,No,No,PhD,7.58,B
Female,6.18,82.64,38.42,25.52,44.0,92.07,Yes,No,High School,4.54,D
Male,2.14,98.9,73.19,90.44,84.71,44.85,No,Yes,PhD,4.97,B
Female,6.24,82.69,72.04,29.22,63.25,29.93,Yes,No,High School,8.05,C
Female,7.9,65.1,90.19,73.96,99.44,48.52,No,No,PhD,6.84,B
Female,4.66,81.94,30.23,53.29,31.76,96.88,No,No,Bachelor,4.23,D
Male,8.92,99.97,43.3,40.25,43.28,35.33,Yes,Yes,Bachelor,6.83,D
Male,6.84,82.61,45.38,92.37,78.27,98.32,Yes,No,Bachelor,6.38,B
Male,9.09,85.7,96.5,80.97,78.66,83.75,No,No,High School,4.77,B
Male,6.61,96.3,40.76,50.53,70.75,34.07,Yes,No,High School,6.96,C
Female,2.18,46.82,32.59,46.31,98.04,81.2,Yes,No,PhD,4.87,C
Male,3.79,82.29,67.41,80.2,59.07,14.48,Yes,Yes,PhD,8.06,C
Male,2.82,91.05,67.0,87.74,59.19,59.33,Yes,Yes,Master,7.09,B
Male,9.18,97.26,89.08,78.69,93.73,42.16,No,No,Master,8.36,B
Male,7.84,52.66,96.42,73.0,67.69,48.42,Yes,No,High School,6.12,B
Male,7.09,70.24,67.7,42.09,54.76,52.56,Yes,Yes,High School,6.56,C
Female,3.71,80.83,95.1,88.96,80.33,55.24,No,Yes,Bachelor,7.8,B
Male,2.66,54.85,80.76,81.22,73.38,69.08,Yes,No,Bachelor,6.73,B
Female,7.81,76.03,48.52,63.8,51.45,72.71,No,No,Master,6.86,C
Male,5.27,55.45,94.99,63.37,50.86,97.81,Yes,No,PhD,6.77,C
Female,3.03,60.01,76.72,67.69,57.69,78.65,Yes,Yes,PhD,6.46,C
Male,6.55,66.49,58.99,87.12,35.01,71.9,No,Yes,PhD,8.03,C
Male,1.36,71.75,77.62,80.67,95.98,45.32,No,Yes,High School,6.43,B
Female,3.94,66.96,58.09,89.22,42.81,20.6,No,Yes,Bachelor,8.5,C
Female,5.22,69.59,37.99,63.05,43.57,15.29,No,Yes,PhD,8.04,D
Female,2.33,57.92,80.33,71.85,75.29,52.99,Yes,Yes,Bachelor,7.46,B
Male,9.86,49.54,87.69,89.09,80.7,70.14,Yes,No,PhD,8.49,B
Female,2.88,42.84,81.02,42.42,81.58,68.51,Yes,Yes,Master,6.69,C
Male,2.17,51.76,46.04,58.3,56.26,95.76,Yes,No,Bachelor,8.11,C
Male,2.83,74.92,96.96,71.55,91.13,44.42,No,Yes,Master,5.21,B
Female,7.92,87.17,31.77,93.64,68.08,66.5,Yes,No,Bachelor,4.36,C
Female,4.83,50.15,53.29,26.19,60.7,89.91,Yes,Yes,PhD,7.43,D
Male,6.09,46.51,48.21,40.94,86.73,46.37,Yes,No,PhD,5.51,C
Male,1.19,84.96,33.37,42.58,47.05,53.0,Yes,No,PhD,7.17,D
Female,1.31,58.31,58.4,49.5,90.21,93.07,No,No,PhD,4.39,B
Female,5.01,97.09,73.62,46.13,67.72,59.52,No,Yes,PhD,8.78,C
Female,8.35,82.86,91.78,69.26,93.0,81.96,No,Yes,PhD,6.58,B
Male,8.97,59.61,99.28,91.42,44.11,94.21,No,Yes,PhD,4.05,B
Male,1.78,57.37,86.57,72.77,95.52,61.4,Yes,Yes,High School,6.38,B
Male,5.85,71.42,62.81,43.11,78.15,19.83,No,No,Bachelor,7.95,C
Male,9.22,44.75,80.66,89.78,73.28,83.95,Yes,Yes,Master,8.33,B
Male,4.49,47.06,89.05,72.4,59.54,83.6,No,Yes,High School,6.31,C
Male,8.47,50.55,62.57,41.42,96.94,20.35,Yes,No,Bachelor,4.63,C
Female,2.2,86.48,84.95,52.12,61.07,59.33,Yes,Yes,Master,8.53,C
Male,9.42,70.83,63.79,84.25,64.9,53.84,Yes,Yes,Bachelor,8.91,C
Male,7.76,40.63,57.05,80.42,84.7,86.24,No,No,Master,4.32,B
Male,9.47,80.41,66.83,68.24,49.94,34.72,Yes,Yes,Master,4.39,C
Female,7.09,65.42,77.31,35.86,50.4,48.36,Yes,No,Master,6.83,D
Male,4.27,70.65,80.88,85.25,84.27,64.43,Yes,No,Bachelor,6.67,B
Male,9.44,52.85,54.97,48.07,39.0,56.55,Yes,No,Bachelor,6.94,D
Female,3.48,73.11,69.99,82.87,87.61,95.95,No,No,Master,5.59,B
Male,3.99,98.75,93.69,73.57,73.76,96.46,No,Yes,Master,4.25,B
Male,7.31,44.41,98.34,44.81,67.74,17.34,Yes,Yes,PhD,6.9,C
Male,7.89,57.04,45.91,40.93,46.04,36.81,No,Yes,Master,4.76,D
Male,9.36,54.58,43.5,34.82,85.05,10.68,No,No,PhD,5.71,D
Male,2.84,54.91,77.37,43.15,86.35,47.61,Yes,No,PhD,6.91,C
Female,8.18,62.72,59.03,36.84,63.81,69.59,Yes,No,PhD,5.04,C
Female,7.65,89.09,31.7,71.28,57.24,52.42,No,No,Master,6.71,C
Female,1.57,94.77,54.28,69.91,47.23,16.05,No,Yes,Master,7.57,C
Male,4.49,52.13,86.47,68.96,82.8,27.64,No,No,Master,4.33,B
Male,3.54,72.58,85.82,73.14,74.76,25.6,No,Yes,Master,7.1,B
Male,3.74,78.21,64.63,86.11,44.46,56.0,No,Yes,PhD,6.55,C
Female,9.85,71.31,63.08,93.52,85.61,70.99,No,No,Master,4.49,B
Male,6.78,66.04,70.57,42.28,91.75,38.47,Yes,Yes,PhD,7.53,C
Male,7.46,51.52,45.36,69.08,34.15,21.74,No,Yes,PhD,5.55,D
Female,9.79,69.29,66.82,30.88,84.07,81.87,Yes,Yes,PhD,4.91,C
Male,4.39,64.07,30.77,34.01,89.7,87.25,Yes,No,Bachelor,5.41,C
Female,8.22,87.73,63.29,74.08,99.41,34.88,No,Yes,High School,6.73,B
Female,4.91,85.82,53.52,61.49,46.63,47.87,No,No,PhD,6.9,C
Female,8.83,48.04,77.24,81.87,55.97,17.37,Yes,Yes,PhD,4.85,C
Male,2.63,45.31,74.68,56.93,97.63,30.49,No,Yes,High School,8.68,B
Male,9.53,94.49,56.66,34.57,36.58,79.03,No,Yes,Bachelor,5.64,D
Male,2.97,72.13,30.51,90.4,66.66,42.87,Yes,Yes,Master,5.34,C
Male,3.94,91.47,47.66,31.22,65.47,64.42,No,No,Bachelor,4.93,C
Male,7.81,43.49,74.33,39.17,72.46,95.16,Yes,No,Master,4.6,C
Male,4.54,71.59,35.07,45.77,53.16,75.13,Yes,Yes,High School,8.91,D
Male,6.47,72.37,37.53,99.65,94.81,50.81,No,Yes,Bachelor,7.37,B
Female,5.0,91.64,75.29,56.26,48.9,43.02,Yes,Yes,High School,7.94,C
Male,7.68,45.86,82.9,62.63,75.48,27.15,Yes,No,Bachelor,6.01,C
Female,3.05,54.43,52.51,82.73,64.71,78.05,Yes,Yes,Bachelor,6.07,C
Male,1.53,64.39,64.28,72.73,48.67,20.12,No,Yes,High School,8.93,C
Male,3.7,91.95,96.2,88.11,43.22,15.53,No,No,High School,5.0,C
Male,5.27,96.33,96.19,61.48,96.96,19.43,No,Yes,High School,5.63,B
Female,2.51,99.56,51.53,97.91,69.29,31.86,No,No,Master,4.98,B
Female,4.19,97.55,86.7,84.76,72.29,66.44,Yes,No,High School,5.41,B
Female,4.6,40.36,71.58,55.1,84.8,87.52,Yes,Yes,PhD,7.32,B
Female,1.52,42.86,98.28,53.6,35.69,99.34,No,Yes,PhD,5.54,C
Male,6.25,48.86,63.43,94.71,79.96,75.83,Yes,Yes,High School,8.38,B
Female,8.96,60.93,84.23,76.33,41.56,23.14,Yes,Yes,High School,4.24,C
Male,2.37,89.8,83.77,71.61,81.83,34.99,No,No,Bachelor,5.77,B
Male,6.38,93.56,64.82,81.84,39.89,21.88,No,Yes,PhD,8.3,C
Female,6.98,51.21,85.69,67.06,88.27,20.4,No,No,Master,7.11,B
Female,4.77,77.18,48.27,36.94,77.67,61.1,Yes,Yes,Bachelor,7.85,C
Female,7.31,95.04,38.56,48.94,57.01,91.61,No,No,Master,5.62,C
Female,4.7,67.82,59.76,66.85,55.12,71.59,No,Yes,High School,5.85,C
Female,5.54,46.21,96.05,26.36,40.43,82.06,Yes,No,Bachelor,8.44,D
Female,1.07,67.47,65.05,57.8,93.28,55.73,No,Yes,PhD,7.75,B
Female,7.23,62.55,74.47,81.69,38.3,52.78,No,No,Bachelor,5.92,C
Female,6.95,74.66,73.69,37.32,63.05,94.37,Yes,Yes,Master,5.08,C
Male,1.35,66.32,39.28,29.84,46.56,74.98,No,No,PhD,4.53,D
Female,4.31,41.04,57.32,87.7,99.74,51.34,No,Yes,Master,8.31,B
Female,9.81,99.64,79.49,71.3,71.01,39.93,Yes,Yes,PhD,7.49,B
Male,4.79,72.61,98.04,38.24,40.47,18.38,No,Yes,High School,7.04,D
Female,5.52,68.42,41.76,85.47,76.73,83.89,No,Yes,High School,7.88,B
Male,9.19,97.28,58.73,74.36,99.41,25.24,Yes,No,High School,8.57,B
Male,7.46,49.35,36.66,50.06,72.35,56.35,Yes,No,PhD,7.81,C
Female,6.24,51.35,46.97,53.21,62.02,67.36,No,Yes,Bachelor,6.1,C
Male,8.18,88.48,56.37,36.69,50.53,76.97,Yes,Yes,High School,4.88,D
Male,8.78,55.65,67.85,87.64,36.45,17.5,Yes,No,PhD,7.57,C
Male,5.11,87.95,46.14,63.18,45.98,10.96,No,Yes,PhD,5.23,D
Male,5.28,56.29,45.93,66.78,68.75,73.54,Yes,No,High School,7.91,C
Female,4.47,41.99,84.45,91.26,82.76,50.9,No,No,PhD,5.69,B
Male,9.7,71.02,97.38,26.19,91.46,26.3,No,Yes,PhD,4.78,C
Female,7.27,51.8,52.65,30.02,85.56,98.38,Yes,Yes,High School,5.27,C
Male,1.75,85.47,78.16,37.12,38.78,81.22,Yes,No,Bachelor,5.33,C
Male,8.77,78.47,48.07,27.25,84.14,62.07,Yes,No,Master,5.89,C
Male,5.33,95.42,94.96,74.36,70.71,73.19,No,No,Bachelor,5.29,B
Male,1.62,86.98,77.1,72.54,62.84,23.95,Yes,No,PhD,5.13,C
Female,5.95,50.85,86.19,40.81,70.09,96.6,No,No,PhD,5.96,C
Female,4.75,88.01,33.45,36.21,30.57,99.67,Yes,Yes,PhD,8.34,D
Male,8.9,78.5,71.9,35.93,34.74,68.36,No,No,High School,4.35,D
Male,2.84,80.14,66.93,96.49,66.81,70.15,No,Yes,Master,5.48,B
Female,8.44,89.94,50.51,77.01,42.15,73.4,Yes,No,PhD,6.81,C
Male,6.02,74.43,48.37,68.91,68.19,69.92,No,No,PhD,8.37,C
Male,1.49,67.96,70.6,49.19,54.79,49.47,No,Yes,Bachelor,5.42,C
Male,9.75,78.2,79.45,57.48,93.52,58.66,No,Yes,PhD,5.74,B
Female,5.61,57.88,32.32,31.71,96.48,35.45,Yes,No,PhD,7.99,C
Female,3.62,50.96,69.72,99.86,98.58,50.22,Yes,No,High School,5.86,B
Female,5.22,77.0,41.93,81.63,92.93,49.25,Yes,No,Bachelor,8.26,B
Male,8.72,54.03,39.83,71.61,99.01,35.93,Yes,Yes,Bachelor,6.28,C
Male,3.74,44.79,73.62,69.08,79.43,80.8,Yes,Yes,PhD,6.85,B
Female,2.73,40.03,51.76,62.82,97.24,46.87,Yes,No,High School,6.8,C
Female,2.16,76.5,60.86,44.31,74.93,59.65,Yes,No,High School,4.6,C
Female,3.68,61.73,55.2,41.98,86.64,24.05,No,No,Master,5.77,C
Female,8.02,85.14,75.38,66.21,39.23,52.75,No,Yes,Master,5.21,C
Male,5.24,62.51,62.91,30.27,77.78,78.53,Yes,Yes,PhD,7.42,C
Female,3.05,69.16,97.44,30.59,95.18,50.01,No,No,Master,8.67,B
Male,2.5,64.43,54.67,67.06,67.8,60.2,Yes,No,High School,5.06,C
Female,3.99,79.03,81.82,93.99,43.08,73.15,No,No,Bachelor,4.46,B
Male,9.46,61.37,48.01,93.57,66.88,45.01,Yes,Yes,Master,6.53,C
Female,4.09,97.83,65.61,25.81,79.49,41.8,No,Yes,PhD,5.95,C
Female,9.89,96.17,68.68,33.05,83.89,17.72,No,No,High School,4.18,C
Female,5.37,90.88,53.04,68.73,66.66,62.4,No,Yes,Master,8.61,C
Female,2.61,95.22,63.02,88.64,45.22,73.63,Yes,No,High School,8.7,C
Male,9.02,66.95,49.55,96.58,94.87,62.31,Yes,Yes,Bachelor,8.25,B
Female,5.14,72.19,30.42,89.54,84.15,35.52,No,Yes,High School,5.4,C
Male,7.39,84.53,45.1,75.82,48.95,33.61,No,Yes,PhD,4.61,C
Male,9.85,81.77,79.0,40.04,86.83,24.35,No,Yes,Master,6.96,C
Male,1.45,93.44,83.97,30.45,54.35,14.23,Yes,Yes,High School,5.41,D
Male,1.87,82.98,49.61,28.56,51.87,48.42,Yes,No,Bachelor,5.01,D
Female,7.48,99.87,58.56,70.91,90.42,24.45,Yes,Yes,Master,7.21,B
Male,3.54,60.91,32.62,27.71,91.13,72.17,Yes,No,Master,7.75,C
Male,2.66,89.98,46.59,80.44,57.89,96.56,No,No,PhD,6.64,C
Male,1.35,81.86,84.55,78.44,30.62,16.61,Yes,No,Bachelor,5.6,C
Female,1.2,81.48,72.42,30.97,43.06,90.37,No,Yes,High School,6.56,D
Female,7.97,59.55,44.4,93.0,93.65,69.19,No,Yes,Bachelor,7.0,B
Female,2.21,87.14,48.02,64.14,92.91,87.43,Yes,Yes,Bachelor,4.26,B
Female,5.21,94.02,87.18,92.83,61.73,23.95,Yes,Yes,Bachelor,6.22,B
Male,6.45,53.11,44.64,92.62,51.29,91.58,Yes,No,High School,6.99,C
Male,4.86,77.53,53.39,39.78,51.19,96.21,Yes,Yes,Master,4.65,C
Female,1.24,63.53,76.51,53.54,92.8,91.6,Yes,Yes,Bachelor,6.24,B
Male,8.05,99.37,69.28,35.1,52.73,80.69,No,No,High School,5.73,C
Male,1.09,68.73,62.26,83.12,65.81,18.13,No,Yes,Master,8.34,C
Male,7.86,53.7,92.98,62.81,81.17,29.87,Yes,No,PhD,6.45,B
Female,9.04,62.91,45.38,94.66,44.66,92.18,No,No,High School,6.13,C
Female,4.9,79.23,81.9,40.62,47.77,30.65,No,No,Bachelor,5.22,D
Male,5.82,44.57,41.13,76.63,55.06,41.29,Yes,No,Bachelor,8.79,C
Female,5.29,76.22,73.1,99.19,75.8,14.54,No,No,High School,8.81,B
Female,4.5,95.87,90.94,74.9,87.22,66.53,No,Yes,High School,5.83,B
Female,8.99,91.02,62.05,30.16,68.27,60.7,No,Yes,Bachelor,8.65,C
Female,9.05,44.06,80.7,69.13,39.31,96.56,Yes,Yes,High School,7.09,C
Female,4.02,99.6,87.43,38.49,61.24,90.31,Yes,No,Bachelor,7.91,C
Male,6.54,81.92,39.52,27.29,38.94,55.53,No,Yes,High School,4.45,D
Female,9.34,49.74,79.41,50.12,36.18,64.84,Yes,Yes,PhD,4.11,D
Male,9.66,40.74,94.39,44.96,71.27,47.19,No,No,Master,6.57,C
Male,5.58,50.28,70.35,84.16,96.93,21.92,No,Yes,PhD,4.38,B
Female,5.08,90.29,43.03,53.03,88.63,88.1,Yes,Yes,High School,8.46,B
Male,3.51,41.3,38.89,79.97,84.21,59.46,Yes,Yes,PhD,8.1,C
Male,9.63,53.99,48.18,26.22,80.89,48.29,Yes,Yes,PhD,7.57,D
Male,2.29,85.44,37.25,26.11,92.8,16.16,No,No,Master,4.16,C
Female,6.22,75.17,65.94,27.2,82.7,69.88,Yes,No,High School,6.29,C
Female,3.54,86.96,34.88,41.45,73.88,45.97,No,No,PhD,4.39,C
